web-scraper-order,web-scraper-start-url,title,price,availability
"1611951086-822","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p7/c","Laptop Asus ExpertBook P2451FB-EB0037R, 14 inch FHD, Intel Core i7-10510U (8M Cache, 1.8 GHz up to 4.9 GHz, 4C/8T), RAM 16GB, SSD 512GB, placa video dedicata NVIDIA GeForce MX110 2GB, Windows 10 Pro, Negru","4.998<sup>00</sup> <span>Lei</span>","în stoc"
"1611951104-978","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p4/c","Laptop Lenovo IdeaPad L340, 15.6"", i5 9300H, 8 GB RAM DDR4, 512 GB SSD, NVIDIA® GeForce® GTX 1050, FreeDos, Black","4.799<sup>95</sup> <span>Lei</span>","ultimele 3 produse"
"1611951104-1022","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p4/c","Laptop ultraportabil Lenovo ThinkPad E14 cu procesor Intel Core i5-10210U pana la 4.20 GHz, 14"", Full HD, IPS, 8GB, 1TB HDD + 256GB SSD, AMD Radeon RX 640 2GB, Windows 10 Pro, Black","4.999<sup>99</sup> <span>Lei</span>","ultimul produs in stoc"
"1611951080-763","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p8/c","Laptop Lenovo ThinkBook 15-IIL with processor Intel® Core™ i5-1035G1 up to 3.60 GHz, 15.6"", Full HD, IPS, 16GB, 512GB SSD, AMD RADEON 630 2GB, Free DOS, Mineral Grey","4.599<sup>99</sup> <span>Lei</span>","stoc epuizat"
"1611951080-782","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p8/c","Laptop Gaming ASUS ROG Strix G G531GT cu procesor Intel® Core™ i5-9300H pana la 4.10 GHz, 15.6"", Full HD, 144Hz, 8GB, 512GB SSD, NVIDIA® GeForce® GTX 1650 4GB, Free DOS, Black","4.199<sup>99</sup> <span>Lei</span>","stoc epuizat"
"1611951121-1156","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p1/c","Laptop ASUS Gaming 15.6'' ASUS TUF F15 FX506LU, FHD 144Hz, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 8GB DDR4, 1TB + 256GB SSD, GeForce GTX 1660 Ti 6GB, No OS, Fortress Gray","4.889<sup>00</sup> <span>Lei</span>","în stoc"
"1611951092-894","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p6/c","Laptop Gaming Lenovo Legion 5 15ARH05 cu procesor AMD Ryzen 5 4600H pana la 4.00 GHz, 15.6"", Full HD, 120Hz, 8GB, 512GB SSD, NVIDIA GeForce GTX 1650 Ti 4GB, Free DOS, Phantom Black","4.343<sup>50</sup> <span>Lei</span>","ultimul produs in stoc"
"1611951121-1186","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p1/c","Laptop Gaming ASUS ROG Zephyrus G14 GA401IU cu procesor AMD Ryzen™ 7 4800HS pana la 4.30 GHz, 14"", Full HD, 120Hz, 16GB, 512GB SSD, NVIDIA® GeForce® GTX 1650Ti 4GB, Windows 10 Home, Moonlight White AniMe Matrix","5.599<sup>99</sup> <span>Lei</span>","ultimele 2 produse"
"1611951115-1124","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p2/c","Laptop ultraportabil HP ProBook 440 G7 cu procesor Intel® Core™ i7-10510U pana la 4.90 GHz, 14"", Full HD, IPS, 8GB, 1TB HDD, NVIDIA® GeForce® MX250 2GB, Free DOS, Silver","3.699<sup>99</sup> <span>Lei</span>","ultimele 2 produse"
"1611951121-1158","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p1/c","Laptop ultraportabil ASUS ZenBook UM433IQ cu procesor AMD Ryzen™ 5 4500U pana la 4GHz, 14"" Full HD, 8GB, 512GB SSD, NVIDIA® GeForce® MX350 2GB, Windows 10 Home, Light Grey","4.399<sup>99</sup> <span>Lei</span>","în stoc"
"1611951121-1178","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p1/c","Laptop Gaming ASUS ROG Strix G15 G512LI cu procesor Intel® Core™ i5-10300H pana la 4.50 GHz, 15.6"", Full HD, 144Hz, 8GB, 256GB SSD, NVIDIA GeForce GTX 1650 Ti 4GB, Free DOS, Black","4.399<sup>00</sup> <span>Lei</span>","ultimul produs in stoc"
