web-scraper-order,web-scraper-start-url,price,title,availability
"1612388381-3892","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","3.899,90lei","Laptop ASUS VivoBook 14 X403JA-BM005T, Intel Core i5-1035G1 pana la 3.6GHz, 14"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Windows 10 Home, Silver Blue","Stoc epuizat"
"1612388389-4027","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.599,90lei","Laptop Gaming ASUS ROG Strix G15 G512LW-HN037T, Intel Core i7-10750H pana la 5GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 2070 8GB, Windows 10 Home, negru","Stoc epuizat"
"1612388392-4061","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/9/","6.799,90lei","Laptop Gaming ASUS ROG Strix G15 G512LV-HN033, Intel Core i7-10750H pana la 5GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 2060 6GB, Free DOS, negru","Stoc epuizat"
"1612388389-4043","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.339,99lei","Laptop Gaming ASUS TUF F15 FX506LI-HN037, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1650Ti 4GB, Free DOS, negru","Stoc epuizat"
"1612388397-4188","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","11.259,99lei","Laptop Gaming ASUS ROG Zephyrus S15 GX502LWS-HF021, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 2070 Super 8GB, Free Dos, negru","Stoc epuizat"
"1612388376-3796","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","2.599,90lei","Laptop HP 15s-fq1046nq, Intel Core i3-1005G7 pana la 3.4GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Free DOS, albastru indigo","Stoc epuizat"
"1612388410-4408","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","9.499,90lei","Laptop Gaming HP Omen 15-dh0026nq, Intel Core i9-9880H pana la 4.8GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2080 Max-Q 8GB, Free Dos, negru","In Stoc"
"1612388379-3855","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.299,90lei","Laptop LENOVO IdeaPad 5 14ITL05, Intel Core i5-1135G7 pana la 4.2GHz, 14"" Full HD, 16GB, SSD 512GB, Intel Iris Xe Graphics, Free DOS, gri","Stoc epuizat"
"1612388384-3926","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/12/","4.499,90lei","Laptop Gaming ASUS TUF FX505GT-HN155, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Stealth Black","Stoc epuizat"
"1612388410-4398","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","10.699,90lei","Laptop Gaming HP Omen 17-cb1021nq, Intel Core i7-10750H pana la 5.0GHz, 17.3"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 2080 Super 8GB, Free DOS, negru","In Stoc"
"1612388379-3826","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.699,90lei","Laptop LENOVO V15 IIL, Intel Core i5-1035G4 pana la 3.7GHz, 15.6"" Full HD, 16GB, SSD 512GB, Intel Iris Plus Graphics 620, Free DOS, gri","Stoc epuizat"
"1612388389-4030","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.599,90lei","Laptop APPLE MacBook Air 13 mgn63ze/a, Apple M1, 13.3"" Retina Display, 8GB, SSD 256GB, Grafica integrata, macOS Big Sur, Space Gray - Tastatura layout INT","Stoc epuizat"
"1612388405-4321","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.599,90lei","Laptop Gaming DELL G5 5590, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 16GB, HDD 1TB + SSD 256GB, NVIDIA GeForce GTX 1660 Ti 6GB, Ubuntu, negru","In Stoc"
"1612388389-4025","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.599,90lei","Laptop APPLE MacBook Air 13 mgnd3ze/a, Apple M1, 13.3"" Retina Display, 8GB, SSD 256GB, Grafica integrata, macOS Big Sur, Gold - Tastatura layout INT","Stoc epuizat"
"1612388387-4000","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/11/","4.749,90lei","Laptop 2 in 1 LENOVO IdeaPad Flex 5 14IIL05, Intel Core i7-1065G7 pana la 3.9GHz, 14"" Full HD, 8GB, SSD 512GB, Intel Iris Plus Graphics, Windows 10 Home, gri deschis","Stoc epuizat"
"1612388397-4160","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","2.199,90lei","Laptop ASUS VivoBook X512JA-EJ338, Intel Core i3-1005G1 pana la 3.94Hz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Free DOS, gri","Stoc epuizat"
"1612388389-4018","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.699,90lei","Laptop Gaming ASUS ROG Zephyrus G14 GA401IV-HE007, AMD Ryzen 7 4800HS pana la 4.2GHz, 14"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2060 Max-Q 6GB, Free DOS, gri inchis","Stoc epuizat"
"1612388397-4200","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","8.899,90lei","Laptop 2 in 1 MICROSOFT Surface Book 3, Intel Core i5-1035G7 pana la 3.7GHz, 13.5"" Touch, 8GB, SSD 256GB, Intel Iris Plus Graphics, Windows 10 Home, Platinum","Stoc epuizat"
"1612388376-3815","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","1.799,90lei","Laptop ASUS X545FA-EJ004, Intel Core i3-10110U pana la 4.1GHz, 15.6"" Full HD, 4GB, SSD 256GB, Intel UHD Graphics, Free DOS, gri","Stoc epuizat"
"1612388397-4167","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","16.399,90lei","Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mv932ze/a, Intel Core i9 pana la 4.8GHz, 16GB, 512GB, AMD Radeon Pro 560X 4GB, macOS Mojave, Silver - Tastatura layout INT","Stoc epuizat"
"1612388405-4330","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.299,90lei","Laptop Gaming HP Omen 15-en0007nq, AMD Ryzen 7 4800H pana la 4.3GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1650 Ti 4GB, Free DOS, argintiu","In Stoc"
